game_id,round_id,player_id,to_hare1,to_hare2,to_stag1,chat_visible,others_visible,action
32,3,player1,6,16,19,True,True,stag
32,3,player2,7,17,20,True,True,stag
32,4,player1,13,13,27,True,True,stag
32,4,player2,13,13,27,True,True,stag
32,5,player1,22,15,3,True,True,stag
32,5,player2,22,15,3,True,True,stag
33,1,player1,0,8,7,True,False,hare
33,1,player2,11,13,16,True,False,hare
33,2,player1,16,0,6,True,False,hare
33,2,player2,12,6,0,True,False,hare
33,3,player1,14,0,8,True,False,hare
33,3,player2,14,0,8,True,False,hare
33,4,player1,3,6,2,True,False,hare
33,4,player2,0,9,1,True,False,hare
33,5,player1,7,0,20,True,False,hare
33,5,player2,1,6,14,True,False,hare
34,2,player1,16,23,9,False,False,stag
34,2,player2,16,23,9,False,False,stag
34,3,player1,6,8,8,False,False,miss
34,3,player2,2,0,6,False,False,miss
34,4,player1,3,9,7,False,False,miss
34,4,player2,0,10,10,False,False,miss
34,5,player1,12,25,9,False,False,stag
34,5,player2,12,25,9,False,False,stag
35,1,player1,2,0,10,True,True,hare
35,1,player2,1,3,9,True,True,hare
35,2,player1,9,16,1,True,True,hare
35,2,player2,1,6,11,True,True,hare
35,3,player1,11,4,1,True,True,hare
35,3,player2,0,13,12,True,True,hare
35,4,player1,9,6,1,True,True,hare
35,4,player2,1,16,9,True,True,hare
35,5,player1,7,12,14,True,True,stag
35,5,player2,10,3,3,True,True,stag
36,2,player1,5,10,4,False,False,stag
36,2,player2,5,10,4,False,False,stag
36,3,player1,7,11,10,False,False,stag
36,3,player2,7,11,10,False,False,stag
36,4,player1,9,9,5,False,False,stag
36,4,player2,9,9,5,False,False,stag
36,5,player1,17,18,10,False,False,stag
36,5,player2,18,19,9,False,False,stag
37,1,player1,8,1,14,True,True,hare
37,1,player2,6,13,6,True,True,hare
37,2,player1,15,12,7,True,True,stag
37,2,player2,5,20,5,True,True,stag
37,3,player1,8,15,2,True,True,stag
37,3,player2,9,14,3,True,True,stag
37,4,player1,4,11,9,True,True,stag
37,4,player2,5,12,10,True,True,stag
37,5,player1,7,17,7,True,True,stag
37,5,player2,7,17,7,True,True,stag
38,1,player1,10,0,11,True,False,miss
38,1,player2,1,11,0,True,False,miss
38,2,player1,0,21,14,True,False,miss
38,2,player2,5,16,9,True,False,miss
38,3,player1,5,0,15,True,False,miss
38,3,player2,4,5,12,True,False,miss
38,4,player1,7,0,2,True,False,miss
38,4,player2,9,2,0,True,False,miss
38,5,player1,4,9,7,True,False,stag
38,5,player2,4,9,7,True,False,stag
39,1,player1,0,8,12,True,True,hare
39,1,player2,3,11,15,True,True,hare
